image_id,num_potholes,x,y,w,h
G0010151,10,1608,1464,62,16
G0010151,10,1516,1426,50,16
G0010152,8,1296,1692,140,40
G0010152,8,1232,1654,104,30
G0010152,8,1378,1588,106,22
G0010152,8,1462,1560,102,28
G0010152,8,1576,1536,60,16
G0010152,8,1362,1486,78,24
G0010152,8,1994,1580,92,34
G0010152,8,2034,1632,130,44
G0010153,5,1138,1576,108,40
G0010153,5,1192,1742,164,28
G0010153,5,1382,1696,52,18
G0010153,5,1674,1506,62,12
G0010153,5,1708,1418,54,10
G0010759,1,2008,1460,66,24
G0010760,1,2224,1502,70,28
G0010761,1,2630,1564,88,32
G0010762,1,3270,1668,112,46
G0010763,2,486,1470,118,32
G0010763,2,834,1520,70,26
G0010764,2,764,1454,124,30
G0010764,2,1122,1522,76,26
G0010765,2,1032,1440,136,40
G0010765,2,1410,1540,92,30
G0010766,2,1274,1442,140,40
G0010766,2,1698,1570,100,44
G0010767,2,1452,1450,154,42
G0010767,2,1930,1628,122,42
G0010768,1,1562,1476,180,60
G0010769,1,1618,1518,200,56
G0010770,1,1644,1586,230,78
G0010813,1,1882,1374,96,22
G0010814,1,1826,1454,180,42
G0010815,1,1692,1668,372,96
G0011195,1,1578,1432,66,18
G0011196,1,1408,1554,156,28
G0011242,3,1054,1486,70,24
G0011242,3,1340,1442,84,20
G0011242,3,1322,1420,48,20
G0011243,3,22,1740,150,48
G0011243,3,670,1624,188,52
G0011243,3,798,1546,104,26
G0011244,1,2034,1572,76,32
G0011427,2,1122,1532,80,22
G0011427,2,1392,1548,54,18
G0011474,3,1798,1614,224,70
G0011474,3,2158,1502,154,32
G0011474,3,2094,1414,102,20
G0011477,1,1560,1540,176,48
G0011488,1,2164,1474,108,34
G0011490,2,2352,1604,190,60
G0011490,2,2182,1422,110,30
G0011491,2,2486,1708,264,86
G0011491,2,2218,1446,116,32
G0011492,1,2242,1472,140,32
G0011493,1,2276,1484,158,42
G0011495,1,2428,1574,240,74
G0011496,1,2660,1668,326,118
G0011503,2,2304,1596,80,30
G0011503,2,1706,1452,64,22
G0011504,3,1574,1526,126,40
G0011504,3,2042,1402,52,20
G0011504,3,2138,1472,62,20
G0011525,2,2584,1662,156,54
G0011525,2,2010,1398,108,22
G0011526,1,2014,1440,132,36
G0011527,1,2054,1500,186,50
G0011529,3,2668,1736,170,62
G0011529,3,3192,1718,254,82
G0011529,3,2440,1578,146,44
G0011555,2,2210,1512,96,26
G0011555,2,2534,1518,306,108
G0011556,2,2572,1596,236,52
G0011556,2,2630,1778,232,64
G0011558,1,1788,1456,100,18
G0011559,1,1786,1544,164,36
G0011560,1,2184,1412,84,20
G0011561,1,2174,1452,138,28
G0011563,2,2428,1774,346,86
G0011563,2,2834,1646,146,58
G0011564,1,1938,1400,64,16
G0011566,1,2066,1486,104,24
G0011567,1,2246,1610,176,40
G0011569,1,2410,1450,104,34
G0011570,1,2716,1552,178,56
G0011572,3,1874,1506,84,20
G0011572,3,2902,1612,136,36
G0011572,3,2108,1518,54,22
G0011573,2,2312,1754,110,48
G0011573,2,1860,1706,160,58
G0011581,3,2080,1554,200,44
G0011581,3,2592,1596,232,66
G0011581,3,1270,1632,164,82
G0011586,3,1216,1628,256,54
G0011586,3,1966,1604,122,36
G0011586,3,2078,1502,186,38
G0011588,2,1264,1642,166,52
G0011588,2,1778,1476,82,26
G0011589,5,1758,1560,140,40
G0011589,5,1602,1542,96,24
G0011589,5,1640,1462,90,20
G0011589,5,1974,1418,64,14
G0011589,5,2002,1388,72,14
G0011590,6,1424,1738,150,44
G0011590,6,1538,1518,128,38
G0011590,6,2020,1446,70,18
G0011590,6,2194,1442,44,14
G0011590,6,2204,1482,110,28
G0011590,6,2038,1400,88,18
G0011591,6,1236,1694,250,90
G0011591,6,2068,1514,96,28
G0011591,6,2392,1598,166,50
G0011591,6,2532,1564,182,46
G0011591,6,2322,1510,68,26
G0011591,6,2096,1420,84,32
G0011592,4,2174,1700,202,66
G0011592,4,2576,1678,134,52
G0011592,4,2150,1490,118,38
G0011592,4,1634,1514,198,36
G0011593,3,1376,1670,368,100
G0011593,3,2280,1612,168,64
G0011593,3,2644,1546,150,68
G0011594,2,3128,1718,262,124
G0011594,2,1514,1528,126,24
G0011595,1,1080,1748,270,76
G0011609,1,1600,1492,46,16
G0011610,1,1354,1658,94,28
G0011612,1,2018,1378,46,10
G0011613,1,2048,1406,48,12
G0011615,3,2226,1528,140,38
G0011615,3,2148,1472,64,18
G0011615,3,2106,1454,46,10
G0011618,1,1730,1398,72,12
G0011619,1,1668,1432,104,20
G0011620,1,1564,1490,154,26
G0011621,1,1384,1586,230,54
G0011635,1,2004,1440,62,18
G0011636,1,2060,1508,94,24
G0011637,1,2252,1704,184,62
G0011641,1,2004,1420,60,16
G0011642,1,2052,1476,80,26
G0011643,1,2164,1612,144,60
G0011663,1,2144,1462,62,18
G0011700,1,1884,1360,36,12
G0011701,1,1890,1368,38,12
G0011702,1,1886,1386,52,16
G0011703,1,1870,1408,82,20
G0011704,1,1860,1444,98,28
G0011759,4,2222,1516,62,16
G0011759,4,2046,1412,52,10
G0011759,4,2324,1404,88,10
G0011759,4,2298,1408,86,12
G0011760,4,2268,1608,106,22
G0011760,4,2020,1442,62,10
G0011760,4,2350,1430,100,14
G0011760,4,2314,1442,70,12
G0011761,4,1996,1478,76,14
G0011761,4,2398,1460,112,16
G0011761,4,2358,1476,146,26
G0011761,4,2126,1498,58,14
G0011762,4,1968,1534,100,26
G0011762,4,2144,1572,80,20
G0011762,4,2434,1536,168,32
G0011762,4,2464,1504,158,28
G0011763,5,1948,1632,134,38
G0011763,5,2202,1698,112,40
G0011763,5,2580,1630,192,52
G0011763,5,2598,1578,196,44
G0011763,5,1972,1458,88,14
G0011764,4,2860,1686,282,82
G0011764,4,1964,1496,108,14
G0011764,4,2140,1508,84,24
G0011764,4,1632,1444,42,12
G0011766,3,2242,1668,190,56
G0011766,3,1662,1528,88,26
G0011766,3,2506,1724,234,42
G0011767,3,1754,1592,170,48
G0011767,3,1588,1510,86,16
G0011767,3,1886,1390,68,12
G0011768,2,1608,1580,104,24
G0011768,2,1966,1410,82,12
G0011770,2,1892,1464,116,18
G0011770,2,1688,1430,46,18
G0011771,2,1836,1520,154,24
G0011771,2,1600,1472,56,16
G0011774,2,1054,1682,174,48
G0011774,2,1426,1532,54,10
G0011775,1,1190,1648,74,20
G0011866,2,1950,1442,38,12
G0011866,2,1802,1434,34,12
G0011867,2,1940,1486,40,10
G0011867,2,1762,1474,50,16
G0011868,2,1932,1548,58,14
G0011868,2,1732,1526,62,20
G0011869,3,1920,1576,68,16
G0011869,3,1694,1548,76,22
G0011869,3,1870,1502,52,14
G0011870,3,1914,1588,74,18
G0011870,3,1666,1556,84,22
G0011870,3,1844,1506,66,16
G0011871,3,1926,1614,80,22
G0011871,3,1648,1568,92,28
G0011871,3,1846,1514,66,20
G0011872,3,1936,1660,94,26
G0011872,3,1636,1604,98,36
G0011872,3,1850,1536,78,24
G0011873,5,1234,1726,100,32
G0011873,5,1936,1730,102,36
G0011873,5,1592,1654,114,44
G0011873,5,1838,1566,94,32
G0011873,5,1668,1556,44,16
G0011874,3,1458,1698,160,66
G0011874,3,1774,1582,122,44
G0011874,3,1586,1562,46,18
G0011875,3,1672,1646,160,66
G0011875,3,1278,1706,100,26
G0011875,3,1452,1614,52,28
G0011877,2,1544,1576,108,22
G0011877,2,2344,1526,58,14
G0011880,1,1374,1572,78,24
G0011935,1,1804,1632,122,40
G0011936,2,2376,1412,42,12
G0011936,2,2254,1400,42,10
G0011937,3,1964,1532,86,22
G0011937,3,2402,1426,50,14
G0011937,3,2272,1416,44,14
G0011938,4,1972,1624,114,34
G0011938,4,2808,1574,90,18
G0011938,4,2466,1442,60,14
G0011938,4,2316,1428,38,12
G0011939,5,3158,1694,132,28
G0011939,5,2568,1472,62,12
G0011939,5,2376,1458,46,12
G0011939,5,2554,1506,76,16
G0011939,5,2448,1452,42,10
G0011940,4,2726,1550,98,22
G0011940,4,2706,1498,82,22
G0011940,4,2470,1480,50,12
G0011940,4,2540,1468,52,14
G0011941,5,3006,1654,134,46
G0011941,5,2916,1562,104,34
G0011941,5,2602,1536,68,16
G0011941,5,2686,1520,58,16
G0011941,5,3098,1470,68,18
G0011942,7,3234,1660,154,56
G0011942,7,2826,1614,84,28
G0011942,7,2904,1584,74,26
G0011942,7,3350,1510,72,20
G0011942,7,3244,1600,80,24
G0011942,7,2810,1550,58,14
G0011942,7,2112,1568,78,20
G0011943,2,2162,1694,102,30
G0011943,2,3222,1714,136,48
G0011947,1,2724,1440,142,36
G0011948,1,2350,1446,148,26
G0011949,1,2032,1460,150,32
G0011950,1,1774,1494,148,34
G0011951,1,1522,1542,172,40
G0011952,1,1278,1618,190,42
G0011953,1,986,1742,186,26
G0011958,1,1344,1606,88,18
G0011967,3,2964,1688,88,30
G0011967,3,1384,1576,86,26
G0011967,3,1410,1558,72,18
G0011971,1,2440,1618,42,12
G0011974,1,2704,1578,44,14
G0011975,3,2406,1684,50,24
G0011975,3,2264,1416,30,10
G0011975,3,2030,1404,34,14
G0011976,2,2376,1446,34,12
G0011976,2,2066,1428,44,16
G0011977,3,2586,1506,56,16
G0011977,3,2130,1476,64,20
G0011977,3,2292,1574,42,26
G0011987,2,2042,1470,44,14
G0011987,2,2592,1444,42,10
G0011990,1,2860,1516,80,24
G0016154,1,2018,1338,38,10
G0016155,1,2092,1370,48,14
G0016232,2,2288,1336,46,12
G0016232,2,2328,1346,40,12
G0016233,2,2490,1402,60,18
G0016233,2,2558,1426,64,20
G0016234,2,3062,1584,152,58
G0016234,2,3328,1678,184,68
G0016288,1,2456,1622,58,48
G0016316,1,2486,1420,48,18
G0016325,1,1948,1302,34,10
G0016327,1,1982,1324,52,10
G0016328,1,2042,1350,38,12
G0016501,1,1608,1440,88,44
G0016502,1,2510,1540,68,18
G0016503,1,2426,1458,72,28
G0016513,1,1914,1280,42,14
G0016514,1,1904,1296,48,14
G0016515,1,1894,1324,50,16
G0016556,1,1372,1332,38,12
G0016557,1,1258,1360,46,14
G0016558,1,1048,1402,68,20
G0020197,5,2028,1698,176,64
G0020197,5,1664,1618,152,28
G0020197,5,2300,1516,92,40
G0020197,5,1962,1474,64,16
G0020197,5,2040,1474,112,20
G0020198,5,2766,1660,192,62
G0020198,5,2260,1538,144,28
G0020198,5,2126,1530,92,20
G0020198,5,1600,1476,56,16
G0020198,5,1524,1506,52,14
G0020199,4,2346,1704,162,38
G0020199,4,2600,1714,238,54
G0020199,4,1338,1664,74,14
G0020199,4,1422,1608,72,18
G0020205,6,2322,1618,204,46
G0020205,6,2084,1708,266,62
G0020205,6,2044,1486,112,16
G0020205,6,1874,1414,56,10
G0020205,6,2340,1442,58,12
G0020205,6,2324,1462,140,44
G0020206,7,2126,1562,168,24
G0020206,7,2554,1570,196,24
G0020206,7,2592,1538,86,26
G0020206,7,2472,1482,78,14
G0020206,7,1794,1544,158,24
G0020206,7,1796,1492,152,28
G0020206,7,1872,1432,70,14
G0020207,8,2318,1704,278,64
G0020207,8,3018,1708,256,60
G0020207,8,1756,1638,264,76
G0020207,8,1780,1546,202,34
G0020207,8,2676,1534,110,16
G0020207,8,2860,1590,126,24
G0020207,8,2946,1640,166,48
G0020207,8,1868,1446,84,18
G0020208,3,1730,1658,324,86
G0020208,3,3006,1618,176,32
G0020208,3,1864,1472,108,18
G0020212,3,936,1726,194,44
G0020212,3,1100,1604,164,60
G0020212,3,1254,1534,60,18
G0022105,2,1040,1498,134,30
G0022105,2,346,1458,34,14
G0022106,2,1252,1548,136,34
G0022106,2,526,1464,56,14
G0022107,2,1422,1624,200,50
G0022107,2,628,1472,64,16
G0022108,1,742,1510,66,18
G0022109,1,854,1550,76,22
G0022110,1,1010,1602,78,30
G0022111,1,1176,1664,90,42
G0024291,4,2014,1522,198,30
G0024291,4,1672,1526,188,30
G0024291,4,1874,1492,50,20
G0024291,4,1682,1594,76,16
G0024291,4,2014,1522,198,30
G0024291,4,1672,1526,188,30
G0024291,4,1874,1492,50,20
G0024291,4,1682,1594,76,16
G0024292,4,1590,1702,86,28
G0024292,4,1634,1570,226,42
G0024292,4,1890,1524,50,12
G0024292,4,2064,1580,238,18
G0024292,4,1590,1702,86,28
G0024292,4,1634,1570,226,42
G0024292,4,1890,1524,50,12
G0024292,4,2064,1580,238,18
G0024293,4,2150,1632,322,44
G0024293,4,1914,1546,58,16
G0024293,4,1604,1630,266,52
G0024293,4,1344,1928,196,62
G0024293,4,2150,1632,322,44
G0024293,4,1914,1546,58,16
G0024293,4,1604,1630,266,52
G0024293,4,1344,1928,196,62
G0024294,3,1968,1568,78,16
G0024294,3,1456,1704,456,98
G0024294,3,2346,1692,420,78
G0024294,3,1968,1568,78,16
G0024294,3,1456,1704,456,98
G0024294,3,2346,1692,420,78
G0024295,3,2696,1804,582,156
G0024295,3,1484,1814,532,162
G0024295,3,2072,1600,94,20
G0024295,3,2696,1804,582,156
G0024295,3,1484,1814,532,162
G0024295,3,2072,1600,94,20
G0024297,3,2490,1680,184,52
G0024297,3,494,1708,80,22
G0024297,3,750,1718,64,16
G0024297,3,2490,1680,184,52
G0024297,3,494,1708,80,22
G0024297,3,750,1718,64,16
G0024589,4,3168,1744,146,36
G0024589,4,2852,1660,146,46
G0024589,4,2428,1702,118,60
G0024589,4,1998,1916,156,64
G0024589,4,3168,1744,146,36
G0024589,4,2852,1660,146,46
G0024589,4,2428,1702,118,60
G0024589,4,1998,1916,156,64
G0024718,4,2116,1666,132,24
G0024718,4,2370,1680,290,60
G0024718,4,2726,1632,154,52
G0024718,4,2870,1606,100,28
G0024718,4,2116,1666,132,24
G0024718,4,2370,1680,290,60
G0024718,4,2726,1632,154,52
G0024718,4,2870,1606,100,28
G0024719,6,1494,1810,174,34
G0024719,6,1930,1866,266,92
G0024719,6,2474,1766,106,32
G0024719,6,2554,1718,116,40
G0024719,6,2798,1740,90,36
G0024719,6,2826,1710,100,18
G0024719,6,1494,1810,174,34
G0024719,6,1930,1866,266,92
G0024719,6,2474,1766,106,32
G0024719,6,2554,1718,116,40
G0024719,6,2798,1740,90,36
G0024719,6,2826,1710,100,18
G0024744,5,1574,1588,48,14
G0024744,5,1110,1584,40,14
G0024744,5,934,1616,74,12
G0024744,5,780,1612,108,22
G0024744,5,682,1560,74,10
G0024744,5,1574,1588,48,14
G0024744,5,1110,1584,40,14
G0024744,5,934,1616,74,12
G0024744,5,780,1612,108,22
G0024744,5,682,1560,74,10
G0024748,10,1798,1852,124,38
G0024748,10,1942,1862,100,34
G0024748,10,1268,1872,106,44
G0024748,10,1016,1728,90,20
G0024748,10,652,1792,116,30
G0024748,10,488,1758,164,46
G0024748,10,368,1752,62,12
G0024748,10,416,1682,68,20
G0024748,10,668,1614,86,12
G0024748,10,398,1612,32,10
G0024748,10,1798,1852,124,38
G0024748,10,1942,1862,100,34
G0024748,10,1268,1872,106,44
G0024748,10,1016,1728,90,20
G0024748,10,652,1792,116,30
G0024748,10,488,1758,164,46
G0024748,10,368,1752,62,12
G0024748,10,416,1682,68,20
G0024748,10,668,1614,86,12
G0024748,10,398,1612,32,10
G0024749,10,1436,1960,82,34
G0024749,10,1156,1754,100,30
G0024749,10,736,1824,136,44
G0024749,10,576,1778,166,54
G0024749,10,824,1612,96,12
G0024749,10,548,1678,76,26
G0024749,10,468,1760,66,16
G0024749,10,554,1606,36,8
G0024749,10,56,1606,42,12
G0024749,10,152,1694,32,18
G0024749,10,1436,1960,82,34
G0024749,10,1156,1754,100,30
G0024749,10,736,1824,136,44
G0024749,10,576,1778,166,54
G0024749,10,824,1612,96,12
G0024749,10,548,1678,76,26
G0024749,10,468,1760,66,16
G0024749,10,554,1606,36,8
G0024749,10,56,1606,42,12
G0024749,10,152,1694,32,18
G0024752,10,1548,1890,148,58
G0024752,10,750,1864,234,100
G0024752,10,676,1810,92,24
G0024752,10,848,1694,88,26
G0024752,10,1212,1604,114,24
G0024752,10,946,1586,36,10
G0024752,10,442,1688,40,10
G0024752,10,404,1678,42,10
G0024752,10,476,1694,40,16
G0024752,10,476,1568,34,10
G0024752,10,1548,1890,148,58
G0024752,10,750,1864,234,100
G0024752,10,676,1810,92,24
G0024752,10,848,1694,88,26
G0024752,10,1212,1604,114,24
G0024752,10,946,1586,36,10
G0024752,10,442,1688,40,10
G0024752,10,404,1678,42,10
G0024752,10,476,1694,40,16
G0024752,10,476,1568,34,10
G0024753,8,430,1864,100,28
G0024753,8,652,1728,94,28
G0024753,8,1066,1632,114,22
G0024753,8,798,1608,32,8
G0024753,8,456,1916,290,84
G0024753,8,186,1598,32,8
G0024753,8,242,1714,52,16
G0024753,8,218,1652,30,10
G0024753,8,430,1864,100,28
G0024753,8,652,1728,94,28
G0024753,8,1066,1632,114,22
G0024753,8,798,1608,32,8
G0024753,8,456,1916,290,84
G0024753,8,186,1598,32,8
G0024753,8,242,1714,52,16
G0024753,8,218,1652,30,10
G0024754,5,16,1968,98,22
G0024754,5,788,1678,134,28
G0024754,5,536,1644,48,16
G0024754,5,70,1614,62,12
G0024754,5,316,1792,114,24
G0024754,5,16,1968,98,22
G0024754,5,788,1678,134,28
G0024754,5,536,1644,48,16
G0024754,5,70,1614,62,12
G0024754,5,316,1792,114,24
G0024826,4,2778,1830,116,50
G0024826,4,2704,1776,140,34
G0024826,4,2496,1762,158,46
G0024826,4,2446,1636,60,20
G0024826,4,2778,1830,116,50
G0024826,4,2704,1776,140,34
G0024826,4,2496,1762,158,46
G0024826,4,2446,1636,60,20
G0025079,8,2170,1772,110,28
G0025079,8,1770,1642,156,28
G0025079,8,1948,1610,148,18
G0025079,8,1904,1590,34,16
G0025079,8,1920,1576,38,14
G0025079,8,1966,1586,46,14
G0025079,8,2024,1532,88,16
G0025079,8,1952,1538,24,8
G0025079,8,2170,1772,110,28
G0025079,8,1770,1642,156,28
G0025079,8,1948,1610,148,18
G0025079,8,1904,1590,34,16
G0025079,8,1920,1576,38,14
G0025079,8,1966,1586,46,14
G0025079,8,2024,1532,88,16
G0025079,8,1952,1538,24,8
G0025080,7,1724,1730,254,64
G0025080,7,2000,1674,198,36
G0025080,7,2026,1640,58,16
G0025080,7,1958,1620,44,18
G0025080,7,1938,1644,50,18
G0025080,7,2092,1556,102,20
G0025080,7,2000,1562,32,10
G0025080,7,1724,1730,254,64
G0025080,7,2000,1674,198,36
G0025080,7,2026,1640,58,16
G0025080,7,1958,1620,44,18
G0025080,7,1938,1644,50,18
G0025080,7,2092,1556,102,20
G0025080,7,2000,1562,32,10
G0025081,7,1730,1934,290,56
G0025081,7,2098,1816,328,96
G0025081,7,2138,1740,76,34
G0025081,7,2016,1750,72,36
G0025081,7,2036,1710,72,34
G0025081,7,2208,1604,120,20
G0025081,7,2018,1612,98,18
G0025081,7,1730,1934,290,56
G0025081,7,2098,1816,328,96
G0025081,7,2138,1740,76,34
G0025081,7,2016,1750,72,36
G0025081,7,2036,1710,72,34
G0025081,7,2208,1604,120,20
G0025081,7,2018,1612,98,18
G0025381,3,1876,1496,58,14
G0025381,3,1874,1526,30,16
G0025381,3,1990,1498,26,10
G0025381,3,1876,1496,58,14
G0025381,3,1874,1526,30,16
G0025381,3,1990,1498,26,10
G0025382,11,796,1822,84,74
G0025382,11,896,1826,192,58
G0025382,11,1058,1910,130,60
G0025382,11,1164,1860,86,28
G0025382,11,1246,1922,98,28
G0025382,11,1576,1840,116,58
G0025382,11,2820,1568,40,14
G0025382,11,1846,1596,44,10
G0025382,11,1848,1530,82,24
G0025382,11,2226,1478,44,12
G0025382,11,2012,1536,40,12
G0025382,11,796,1822,84,74
G0025382,11,896,1826,192,58
G0025382,11,1058,1910,130,60
G0025382,11,1164,1860,86,28
G0025382,11,1246,1922,98,28
G0025382,11,1576,1840,116,58
G0025382,11,2820,1568,40,14
G0025382,11,1846,1596,44,10
G0025382,11,1848,1530,82,24
G0025382,11,2226,1478,44,12
G0025382,11,2012,1536,40,12
G0025383,6,1770,1756,78,32
G0025383,6,2044,1608,66,16
G0025383,6,1798,1608,64,18
G0025383,6,1826,1584,88,22
G0025383,6,2012,1534,48,14
G0025383,6,2306,1504,58,14
G0025383,6,1770,1756,78,32
G0025383,6,2044,1608,66,16
G0025383,6,1798,1608,64,18
G0025383,6,1826,1584,88,22
G0025383,6,2012,1534,48,14
G0025383,6,2306,1504,58,14
G0025384,7,2168,1804,146,48
G0025384,7,1684,1792,124,52
G0025384,7,1750,1714,158,58
G0025384,7,1810,1670,58,16
G0025384,7,2054,1594,78,16
G0025384,7,2460,1538,92,14
G0025384,7,1810,1566,30,12
G0025384,7,2168,1804,146,48
G0025384,7,1684,1792,124,52
G0025384,7,1750,1714,158,58
G0025384,7,1810,1670,58,16
G0025384,7,2054,1594,78,16
G0025384,7,2460,1538,92,14
G0025384,7,1810,1566,30,12
G0025385,7,2184,1770,158,30
G0025385,7,2808,1616,170,42
G0025385,7,2472,1546,46,12
G0025385,7,1748,1664,56,12
G0025385,7,1756,1684,48,14
G0025385,7,1846,1502,34,12
G0025385,7,1996,1490,44,12
G0025385,7,2184,1770,158,30
G0025385,7,2808,1616,170,42
G0025385,7,2472,1546,46,12
G0025385,7,1748,1664,56,12
G0025385,7,1756,1684,48,14
G0025385,7,1846,1502,34,12
G0025385,7,1996,1490,44,12
G0025386,8,2846,1640,82,24
G0025386,8,1508,1946,104,42
G0025386,8,1824,1540,44,14
G0025386,8,2014,1522,64,12
G0025386,8,2240,1832,64,24
G0025386,8,1804,1746,46,16
G0025386,8,1764,1676,36,16
G0025386,8,1830,1670,26,18
G0025386,8,2846,1640,82,24
G0025386,8,1508,1946,104,42
G0025386,8,1824,1540,44,14
G0025386,8,2014,1522,64,12
G0025386,8,2240,1832,64,24
G0025386,8,1804,1746,46,16
G0025386,8,1764,1676,36,16
G0025386,8,1830,1670,26,18
G0025387,3,2074,1578,92,20
G0025387,3,1788,1616,68,16
G0025387,3,1712,1650,40,16
G0025387,3,2074,1578,92,20
G0025387,3,1788,1616,68,16
G0025387,3,1712,1650,40,16
G0025388,3,2172,1718,164,50
G0025388,3,1626,1820,142,44
G0025388,3,1424,1950,86,44
G0025388,3,2172,1718,164,50
G0025388,3,1626,1820,142,44
G0025388,3,1424,1950,86,44
G0025389,3,1612,1844,84,24
G0025389,3,2580,1598,50,14
G0025389,3,1764,1584,40,10
G0025389,3,1612,1844,84,24
G0025389,3,2580,1598,50,14
G0025389,3,1764,1584,40,10
G0025409,2,1026,1742,118,32
G0025409,2,2406,1560,54,16
G0025409,2,1026,1742,118,32
G0025409,2,2406,1560,54,16
G0025410,2,1790,1618,64,18
G0025410,2,70,1874,158,38
G0025410,2,1790,1618,64,18
G0025410,2,70,1874,158,38
G0025660,4,2256,1718,156,72
G0025660,4,2680,1664,146,40
